instance,set,rule,relax,status,solved,nodes,time,uplo,loup,timeout
abel.bch,unsolved,smearmax,xtaylor,timeout,0,108656,600.0110990000002,-1455531.8046957618,102023.63110505161,600.0
abel.bch,unsolved,smearmaxrel,xtaylor,timeout,0,109580,600.0009660000004,-9988487.006272467,358827.3872431995,600.0
abel.bch,unsolved,smearsum,xtaylor,timeout,0,103070,600.0189410000003,-1455531.8046957618,131188.3964087757,600.0
abel.bch,unsolved,smearsumrel,xtaylor,timeout,0,96380,600.0026300000001,-19938226.217494093,176589.6130395408,600.0
abelbis-1.bch,unsolved,largestfirst,both,timeout,0,110768,600.0037130000004,-1559979.6073397303,215094.1767102709,600.0
abelbis-1.bch,unsolved,lsmear,both,timeout,0,33818,600.0036180000003,-279.89378583379,255.5712420152994,600.0
abelbis-1.bch,unsolved,lsmear-box,both,timeout,0,27652,600.0390130000003,-208.45937297413298,241.8549934469776,600.0
abelbis-1.bch,unsolved,roundrobin,both,timeout,0,29626,600.0422420000002,-4147.753745277176,284.9841916981026,600.0
abelbis-1.bch,unsolved,smearmax,both,timeout,0,29402,600.0194780000004,-611.9178778081096,263.5171799978098,600.0
abelbis-1.bch,unsolved,smearmaxrel,both,timeout,0,91984,600.0037140000002,-1940435.9883168174,29270.563942338125,600.0
abelbis-1.bch,unsolved,smearsum,both,timeout,0,28432,600.0179750000002,-449.6026278470607,271.04765556776005,600.0
abelbis-1.bch,unsolved,smearsumrel,both,timeout,0,73082,600.0059860000002,-894724.2440717295,30798.131490564738,600.0
abelbis-1.bch,unsolved,largestfirst,xtaylor,timeout,0,166204,600.0049140000002,-2969474.9820935484,1159714.4245134592,600.0
abelbis-1.bch,unsolved,lsmear,xtaylor,timeout,0,32618,600.0308570000002,-331.7821502019435,273.3858266708776,600.0
abelbis-1.bch,unsolved,lsmear-box,xtaylor,timeout,0,28384,600.0038870000003,-760.4751504613791,284.3002005448508,600.0
abelbis-1.bch,unsolved,roundrobin,xtaylor,timeout,0,34420,600.0303280000002,-3068.4649685263075,296.4833811399778,600.0
abelbis-1.bch,unsolved,smearmax,xtaylor,timeout,0,38722,600.0103000000003,-105.88235577541398,237.1811137668064,600.0
abelbis-1.bch,unsolved,smearmaxrel,xtaylor,timeout,0,124094,600.0000470000002,-2829242.171457575,68745.49344678986,600.0
abelbis-1.bch,unsolved,smearsum,xtaylor,timeout,0,31396,600.0225710000003,-385.71693482606673,247.38485086067317,600.0
abelbis-1.bch,unsolved,smearsumrel,xtaylor,timeout,0,58568,600.0211100000002,-434.250955530253,270.4959450000936,600.0
abelbis.bch,unsolved,largestfirst,both,timeout,0,132986,600.0036170000002,-35858836291267720,inf,600.0
abelbis.bch,unsolved,lsmear,both,timeout,0,101508,600.0127750000004,-6614738379.990052,395055.7246061318,600.0
abelbis.bch,unsolved,lsmear-box,both,timeout,0,71788,600.1102780000002,-2713286050.9147396,67971.10367401733,600.0
abelbis.bch,unsolved,roundrobin,both,timeout,0,24766,600.0386520000003,-310065264240.3298,13812.625207546585,600.0
abelbis.bch,unsolved,smearmax,both,timeout,0,16478,600.0810210000003,-889710095412922,7805.478965873397,600.0
abelbis.bch,unsolved,smearmaxrel,both,timeout,0,89556,600.0013640000002,-108000467535880.66,6329260465621.586,600.0
abelbis.bch,unsolved,smearsum,both,timeout,0,17522,600.1143710000001,-879414630671474.6,7680.454256380338,600.0
abelbis.bch,unsolved,smearsumrel,both,timeout,0,69240,600.0145650000002,-118477.43078020502,1552.7082035038397,600.0
abelbis.bch,unsolved,largestfirst,xtaylor,timeout,0,157192,600.0061140000001,-35858836291267720,inf,600.0
abelbis.bch,unsolved,lsmear,xtaylor,timeout,0,141358,600.0010450000002,-12029050037269102,1575477426186.7578,600.0
abelbis.bch,unsolved,lsmear-box,xtaylor,timeout,0,150634,600.0119740000004,-10578216766333266,1575477426186.7578,600.0
abelbis.bch,unsolved,roundrobin,xtaylor,timeout,0,21380,600.1541850000002,-3777373506.0610623,1565.5702939068262,600.0
abelbis.bch,unsolved,smearmax,xtaylor,timeout,0,28460,600.0801990000002,-764184702685136,412893.8015410561,600.0
abelbis.bch,unsolved,smearmaxrel,xtaylor,timeout,0,119168,600.0044860000003,-116376466828114.34,1120956419360.964,600.0
abelbis.bch,unsolved,smearsum,xtaylor,timeout,0,28728,600.0441710000002,-764184702685136,413321.104574932,600.0
