instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
avgasa.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,1226,2.821198000000001,-4.41153536214765,-4.41595131346111,10
avgasa.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,866,2.2667080000000004,-4.41124703816094,-4.415662700861801,10
avgasa.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,1054,2.5059770000000006,-4.4114121286533425,-4.415827956609951,10
avgasa.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,5188,10.003172000000003,-4.410033796347838,-4.590779484203294,10
avgasa.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,8658,10.000332000000006,-4.390879597113717,-8.890278888783868,10
avgasa.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,1446,3.252973000000001,-4.4114477861948,-4.415863649844644,10
avgasb.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,352,0.8401140000000002,-4.4820559571498535,-4.486542499649502,10
avgasb.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,352,0.8492310000000003,-4.4820559571498535,-4.486542499649502,10
avgasb.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,230,0.7209340000000003,-4.4810801796904975,-4.485565745435933,10
avgasb.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,192,0.6351840000000003,-4.4825376155002274,-4.487024640140367,10
avgasb.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,240,0.7247960000000002,-4.481252535172838,-4.485738273446284,10
avgasb.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,268,0.8360150000000001,-4.482457299964757,-4.486944244208965,10
avgasb.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,7540,10.001577000000003,-4.477359007469706,-7.91902763361334,10
avgasb.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,334,0.9251580000000001,-4.482717469657763,-4.487204674332094,10
avion2.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,1696,10.011616000000005,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,1818,10.006592000000005,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,2026,10.003152000000004,236609593.40175545,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,1610,10.015272000000005,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,1700,10.003180000000002,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,1968,10.004489000000005,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,1868,10.003633000000002,253621470.89285997,94552248.23987706,10
avion2.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,722,4.370507000000001,94774355.97295538,94679676.29665874,10
batch.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,580,10.012271000000004,299646.2905351944,185864.4605309253,10
batch.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,658,10.016393000000003,290157.64457457076,206344.33747536544,10
batch.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,592,10.013750000000003,279264.2541520846,136169.73857452613,10
batch.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,616,10.022116000000002,299864.35825550626,195749.30436504076,10
batch.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,618,10.009284000000003,304887.4123827416,196119.30279196647,10
batch.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,528,10.010134000000003,283674.3571506767,152174.90257185313,10
batch.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,908,10.011180000000005,387478.1825840223,137638.30835983492,10
batch.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,590,10.061856000000004,274291.03568718926,172999.15027257032,10
bearing.bch,medium,lsmear,xtaylor,timeout,1508,10.005706000000004,inf,1.9510659752065158,10
bearing.bch,medium,lsmear-box,xtaylor,timeout,1598,10.006262000000005,inf,1.951065974035672,10
bearing.bch,medium,smearsumrel,xtaylor,timeout,2342,10.002711000000003,3.4193286575006545,1.2883380458971998,10
bearing.bch,medium,smearsum,xtaylor,timeout,2026,10.006926000000004,3.537744477663243,1.5305989993048146,10
bearing.bch,medium,smearmax,xtaylor,timeout,2210,10.006381000000005,2.9179744998117405,1.4371535518429184,10
bearing.bch,medium,smearmaxrel,xtaylor,timeout,2714,10.005700000000003,inf,0.3573539940373976,10
bearing.bch,medium,largestfirst,xtaylor,timeout,5080,10.004458000000003,inf,0.05594078818800134,10
bearing.bch,medium,roundrobin,xtaylor,timeout,1986,10.005053000000004,5.533508391437024,1.7703622400100205,10
brownal.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,253516,10.000011000000002,3.4060331638127953e+21,0,10
