instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
dipigri.bch,coconutbenchmark-library2,lsmear,both,complete,556,1.2365430000000006,681.0584630152083,680.3780849302782,600.0
dipigri.bch,coconutbenchmark-library2,lsmear-box,both,complete,628,1.4613750000000005,680.9431297742545,680.2628669073473,600.0
dipigri.bch,coconutbenchmark-library2,smearsumrel,both,complete,912,1.8170710000000003,680.9889084569706,680.3085998571137,600.0
dipigri.bch,coconutbenchmark-library2,smearsum,both,complete,716,1.5606110000000004,681.1261114821473,680.445665816331,600.0
dipigri.bch,coconutbenchmark-library2,smearmax,both,complete,590,1.2309600000000003,680.998514497524,680.3181963012229,600.0
dipigri.bch,coconutbenchmark-library2,smearmaxrel,both,complete,1548,2.881456000000001,680.9146042122034,680.2343698423612,600.0
dipigri.bch,coconutbenchmark-library2,largestfirst,both,timeout,567666,600.0003090000002,683.2703016157049,583.1308971817165,600.0
dipigri.bch,coconutbenchmark-library2,roundrobin,both,complete,988,1.8729110000000004,680.9056959679283,680.2254704974309,600.0
disc2.bch,coconutbenchmark-library2,lsmear,both,complete,298,3.4570330000000014,1.5624999909070552,1.5609390518552002,600.0
disc2.bch,coconutbenchmark-library2,lsmear-box,both,complete,298,3.437697000000001,1.5624999909070552,1.5609390518552002,600.0
disc2.bch,coconutbenchmark-library2,smearsumrel,both,complete,298,3.3611930000000005,1.5624999909070552,1.5609390518552002,600.0
disc2.bch,coconutbenchmark-library2,smearsum,both,complete,306,4.267317000000001,1.562536151474453,1.560975176298155,600.0
disc2.bch,coconutbenchmark-library2,smearmax,both,complete,1072,16.643415000000005,1.562544850195571,1.560983866329242,600.0
disc2.bch,coconutbenchmark-library2,smearmaxrel,both,complete,382,7.311388000000002,1.5634101625402765,1.5618483142260506,600.0
disc2.bch,coconutbenchmark-library2,largestfirst,both,timeout,157950,600.0036470000001,inf,1.5588166689610192,600.0
disc2.bch,coconutbenchmark-library2,roundrobin,both,complete,1252,17.829165000000007,1.5628576942036039,1.5612963978057983,600.0
discs.bch,coconutbenchmark-library2,lsmear,both,timeout,25880,600.0345000000002,inf,-1140000000,600.0
discs.bch,coconutbenchmark-library2,lsmear-box,both,timeout,25784,600.0168000000003,inf,-1140000000,600.0
discs.bch,coconutbenchmark-library2,smearsumrel,both,timeout,27048,600.1105740000003,inf,-1140000000,600.0
discs.bch,coconutbenchmark-library2,smearsum,both,timeout,23802,600.0225710000002,inf,-1180000000,600.0
